date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.04 » 01.05,,,Tour de Romandie (2.UWT),,,,2022
28.04,75,69,Stage 2 - Échallens › Échallens,168.2,,,2022
27.04,92,85,Stage 1 - La Grande Beroche › Romont,178,,,2022
26.04,93,93,Prologue - Lausanne › Lausanne,5.12,,,2022
20.04,DNF,,La Flèche Wallonne (1.UWT),202.1,,,2022
05.03,DNF,,Strade Bianche (1.UWT),184,,,2022
20.02 » 26.02,,,UAE Tour (2.UWT),,,,2022
,45,,General classification,,5,5,2022
26.02,60,,Stage 7 - Al Ain › Jebel Hafeet,148,,,2022
25.02,82,39,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai ,180,,,2022
24.02,33,39,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island ,182,,,2022
23.02,41,39,Stage 4 - Fujairah Fort › Jebel Jais,181,,,2022
22.02,48,39,Stage 3 (ITT) - Ajman › Ajman,9,,,2022
21.02,46,58,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater,176,,,2022
20.02,73,75,Stage 1 - Madinat Zayed › Madinat Zayed,184,,,2022
29.01,40,,Trofeo Pollença - Port d'Andratx (1.1),170.1,,,2022
26.01,47,,Trofeo Calvia (1.1),154.7,,,2022
09.10,55,,Il Lombardia (1.UWT),239,5,5,2021
07.10,DNS,,Gran Piemonte (1.Pro),168,,,2021
06.10,45,,Milano - Torino (1.Pro),190,,,2021
05.10,DNF,,Tre Valli Varesine (1.Pro),196.7,,,2021
19.09,57,,Eschborn-Frankfurt (1.UWT),187.4,5,1,2021
15.09,7,,Grand Prix de Wallonie (1.Pro),208.1,35,60,2021
12.09,117,,GP de Fourmies / La Voix du Nord (1.Pro),197.6,,,2021
29.08,36,,Bretagne Classic - Ouest-France (1.UWT),251,5,8,2021
01.08,39,,Circuito de Getxo - Memorial Hermanos Otxoa (1.1),193.5,,,2021
31.07,DNF,,Donostia San Sebastian Klasikoa (1.UWT),223.5,,,2021
28.07,31,,Olympic Games - ITT (Olympics),44.2,10,,2021
24.07,18,,Olympic Games Road Race (Olympics),234,34,30,2021
26.06 » 18.07,,,Tour de France (2.UWT),,,,2021
,18,,Mountains classification,,,,2021
,11,,Points classification,,,,2021
,27,,General classification,,65,30,2021
18.07,93,,Stage 21 - Chatou › Paris Champs-Élysées,108.4,,,2021
17.07,121,27,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8,,,2021
16.07,88,27,Stage 19 - Mourenx › Libourne,207,,,2021
15.07,34,26,Stage 18 - Pau › Luz Ardiden,129.7,,,2021
14.07,90,26,Stage 17 - Muret › Saint-Lary-Soulan (Col du Portet),178.4,,,2021
13.07,1,21,Stage 16 - El Pas de la Casa  › Saint-Gaudens,169,100,120,2021
11.07,45,28,Stage 15 - Céret › Andorra la Vella,191.3,,,2021
10.07,2,23,Stage 14 - Carcassonne › Quillan,183.7,70,50,2021
09.07,55,27,Stage 13 - Nîmes › Carcassonne,219.9,,,2021
08.07,69,29,Stage 12 - Saint-Paul-Trois-Châteaux › Nîmes,159.4,,,2021
07.07,38,29,Stage 11 - Sorgues › Malaucène,198.9,,,2021
06.07,57,32,Stage 10 - Albertville › Valence,190.7,,,2021
04.07,16,33,Stage 9 - Cluses › Tignes,144.9,,,2021
03.07,72,59,Stage 8 - Oyonnax › Le Grand-Bornand,150.8,,,2021
02.07,7,58,Stage 7 - Vierzon › Le Creusot,249.1,22,,2021
01.07,98,105,Stage 6 - Tours › Châteauroux,160.4,,,2021
30.06,162,111,Stage 5 (ITT) - Changé › Laval Espace Mayenne,27.2,,,2021
29.06,100,103,Stage 4 - Redon › Fougères,150.4,,,2021
28.06,117,105,Stage 3 - Lorient › Pontivy,182.9,,,2021
27.06,75,105,Stage 2 - Perros-Guirec › Mûr-de-Bretagne Guerlédan,183.5,,,2021
26.06,151,151,Stage 1 - Brest › Landerneau,197.8,,,2021
20.06,1,,National Championships Austria - Road Race (NC),178,15,100,2021
30.05 » 06.06,,,Critérium du Dauphiné (2.UWT),,,,2021
,13,,Mountains classification,,,,2021
,4,,Points classification,,,,2021
,12,,General classification,,55,60,2021
06.06,3,,Stage 8 - La Léchère-Les-Bains  › Les Gets,147,18,10,2021
05.06,23,20,Stage 7 - Saint-Martin-le-Vinoux › La Plagne,171.1,,,2021
04.06,3,7,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse,167.2,18,10,2021
